feature,coefficient
anall innbyggere,78.57072573927879
̴r,1384572.2575831746
t_index,-605943.0038959015
sin_q,19604.41559389511
cos_q,284725.8356540184
t_index_area,6343449.856356572
Q_1,-260217.49518469014
Q_2,127656.7851548342
Q_3,-279821.91077899304
Q_4,412382.62080895854
AREA_1,23512574.61341265
AREA_10,-889935.1120668049
AREA_11,-1105458.3528489561
AREA_2,-3123315.009488605
AREA_3,-9882481.407947231
AREA_4,-2147146.216456114
AREA_5,-4657516.958966784
AREA_6,-2213697.621180684
AREA_7,-1378749.4439948585
AREA_8,-895073.1174620789
AREA_9,2780798.626999448
